critical_tier,benign_tier,n_dissenting,c_critical,c_benign,dempster_shafer,bayesian_model_avg,arithmetic_average,safegate_acwcm,dempster_shafer_dilutes,bayesian_model_avg_dilutes,arithmetic_average_dilutes,safegate_acwcm_dilutes
R1,R4,1,0.5,0.3,R1,R1,R1,R1,False,False,False,False
R1,R4,1,0.5,0.4,R1,R1,R1,R1,False,False,False,False
R1,R4,1,0.5,0.5,R1,R1,R2,R1,False,False,False,False
R1,R4,1,0.5,0.6,R1,R1,R2,R1,False,False,False,False
R1,R4,1,0.5,0.7,R1,R1,R2,R1,False,False,False,False
R1,R4,1,0.5,0.8,R1,R1,R2,R1,False,False,False,False
R1,R4,1,0.5,0.9,R1,R1,R2,R1,False,False,False,False
R1,R4,1,0.6,0.3,R1,R1,R1,R1,False,False,False,False
R1,R4,1,0.6,0.4,R1,R1,R1,R1,False,False,False,False
R1,R4,1,0.6,0.5,R1,R1,R1,R1,False,False,False,False
R1,R4,1,0.6,0.6,R1,R1,R1,R1,False,False,False,False
R1,R4,1,0.6,0.7,R1,R1,R2,R1,False,False,False,False
R1,R4,1,0.6,0.8,R1,R1,R2,R1,False,False,False,False
R1,R4,1,0.6,0.9,R1,R1,R2,R1,False,False,False,False
R1,R4,1,0.7,0.3,R1,R1,R1,R1,False,False,False,False
R1,R4,1,0.7,0.4,R1,R1,R1,R1,False,False,False,False
R1,R4,1,0.7,0.5,R1,R1,R1,R1,False,False,False,False
R1,R4,1,0.7,0.6,R1,R1,R1,R1,False,False,False,False
R1,R4,1,0.7,0.7,R1,R1,R2,R1,False,False,False,False
R1,R4,1,0.7,0.8,R1,R1,R2,R1,False,False,False,False
R1,R4,1,0.7,0.9,R1,R1,R2,R1,False,False,False,False
R1,R4,1,0.8,0.3,R1,R1,R1,R1,False,False,False,False
R1,R4,1,0.8,0.4,R1,R1,R1,R1,False,False,False,False
R1,R4,1,0.8,0.5,R1,R1,R1,R1,False,False,False,False
R1,R4,1,0.8,0.6,R1,R1,R1,R1,False,False,False,False
R1,R4,1,0.8,0.7,R1,R1,R1,R1,False,False,False,False
R1,R4,1,0.8,0.8,R1,R1,R2,R1,False,False,False,False
R1,R4,1,0.8,0.9,R1,R1,R2,R1,False,False,False,False
R1,R4,1,0.9,0.3,R1,R1,R1,R1,False,False,False,False
R1,R4,1,0.9,0.4,R1,R1,R1,R1,False,False,False,False
R1,R4,1,0.9,0.5,R1,R1,R1,R1,False,False,False,False
R1,R4,1,0.9,0.6,R1,R1,R1,R1,False,False,False,False
R1,R4,1,0.9,0.7,R1,R1,R1,R1,False,False,False,False
R1,R4,1,0.9,0.8,R1,R1,R1,R1,False,False,False,False
R1,R4,1,0.9,0.9,R1,R1,R2,R1,False,False,False,False
R1,R4,1,0.95,0.3,R1,R1,R1,R1,False,False,False,False
R1,R4,1,0.95,0.4,R1,R1,R1,R1,False,False,False,False
R1,R4,1,0.95,0.5,R1,R1,R1,R1,False,False,False,False
